Customer_ID,Customer_Name,Gender,Age_Group,Membership_Type,City,State,Region,Customer_Segment
C0001,Customer_1,Male,36-45,Silver,Bengaluru,Karnataka,South,Retail
C0002,Customer_2,Male,18-25,Platinum,Delhi,Delhi,North,Corporate
C0003,Customer_3,Male,18-25,Silver,Hyderabad,Telangana,South,Retail
C0004,Customer_4,Male,26-35,Platinum,Bhubaneswar,Odisha,East,Corporate
C0005,Customer_5,Female,36-45,Silver,Mumbai,Maharashtra,West,Retail
C0006,Customer_6,Female,36-45,Silver,Ahmedabad,Gujarat,West,Retail
C0007,Customer_7,Male,18-25,Gold,Chennai,Tamil Nadu,South,Retail
C0008,Customer_8,Female,36-45,Silver,Chennai,Tamil Nadu,South,Corporate
C0009,Customer_9,Male,46-60,Silver,Bhubaneswar,Odisha,East,Corporate
C0010,Customer_10,Female,26-35,Platinum,Vijayawada,Andhra Pradesh,South,Retail
C0011,Customer_11,Male,36-45,Silver,Hyderabad,Telangana,South,Retail
C0012,Customer_12,Female,36-45,Gold,Bengaluru,Karnataka,South,Corporate
C0013,Customer_13,Female,36-45,Silver,Delhi,Delhi,North,Corporate
C0014,Customer_14,Male,26-35,Silver,Bengaluru,Karnataka,South,Corporate
C0015,Customer_15,Female,26-35,Platinum,Ahmedabad,Gujarat,West,Corporate
C0016,Customer_16,Male,18-25,Gold,Hyderabad,Telangana,South,Corporate
C0017,Customer_17,Male,26-35,Platinum,Kolkata,West Bengal,East,Corporate
C0018,Customer_18,Female,46-60,Platinum,Mumbai,Maharashtra,West,Corporate
C0019,Customer_19,Female,26-35,Silver,Delhi,Delhi,North,Corporate
C0020,Customer_20,Female,46-60,Gold,Vijayawada,Andhra Pradesh,South,Retail
C0021,Customer_21,Female,18-25,Silver,Delhi,Delhi,North,Retail
C0022,Customer_22,Male,46-60,Platinum,Delhi,Delhi,North,Retail
C0023,Customer_23,Female,46-60,Platinum,Ahmedabad,Gujarat,West,Corporate
C0024,Customer_24,Male,18-25,Platinum,Bhubaneswar,Odisha,East,Corporate
C0025,Customer_25,Male,36-45,Gold,Chennai,Tamil Nadu,South,Retail
C0026,Customer_26,Male,36-45,Platinum,Lucknow,Uttar Pradesh,North,Retail
C0027,Customer_27,Male,36-45,Platinum,Bhubaneswar,Odisha,East,Retail
C0028,Customer_28,Female,26-35,Platinum,Delhi,Delhi,North,Retail
C0029,Customer_29,Female,46-60,Silver,Vijayawada,Andhra Pradesh,South,Retail
