Inventory_ID,Inventory_Date,Product_ID,Store_ID,Opening_Stock,Stock_Received,Stock_Sold,Closing_Stock,Reorder_Level
I0001,2025-03-14,P0022,S008,182,34,36,180,39
I0002,2025-07-21,P0013,S002,177,49,70,156,22
I0003,2025-04-10,P0003,S001,97,1,17,81,28
I0004,2025-10-08,P0037,S004,126,19,109,36,33
I0005,2025-01-20,P0017,S004,20,8,5,23,23
I0006,2025-03-26,P0047,S008,36,28,59,5,36
I0007,2025-06-25,P0032,S002,40,85,58,67,34
I0008,2025-10-13,P0047,S006,140,33,147,26,32
I0009,2025-09-27,P0048,S006,181,85,167,99,19
I0010,2025-11-01,P0043,S010,153,87,71,169,39
I0011,2025-05-20,P0016,S004,25,55,61,19,25
I0012,2025-01-27,P0033,S005,147,92,103,136,33
I0013,2025-04-23,P0020,S005,47,18,28,37,22
I0014,2025-07-05,P0030,S003,45,89,129,5,28
I0015,2025-06-03,P0048,S007,127,72,84,115,17
I0016,2025-12-06,P0016,S003,179,61,237,3,17
I0017,2025-08-10,P0050,S006,34,55,51,38,19
I0018,2025-03-02,P0027,S008,27,42,47,22,24
I0019,2025-04-20,P0016,S008,145,50,150,45,27
I0020,2025-03-26,P0028,S004,93,31,78,46,25
I0021,2025-02-12,P0011,S010,103,75,96,82,18
I0022,2025-08-08,P0006,S002,22,19,34,7,30
I0023,2025-04-01,P0006,S003,33,0,30,3,16
I0024,2025-12-25,P0009,S005,113,86,175,24,26
I0025,2025-06-08,P0043,S010,42,5,10,37,25
I0026,2025-11-11,P0007,S001,169,10,10,169,15
I0027,2025-05-17,P0013,S003,120,62,27,155,33
I0028,2025-05-26,P0019,S010,154,9,156,7,19
I0029,2025-11-26,P0005,S008,175,33,40,168,39
I0030,2025-04-25,P0045,S009,44,63,77,30,37
I0031,2025-12-22,P0019,S001,120,43,41,122,30
I0032,2025-12-01,P0029,S006,150,39,75,114,37
I0033,2025-06-17,P0026,S007,80,39,85,34,21
I0034,2025-01-19,P0016,S008,58,90,39,109,17
I0035,2025-08-18,P0004,S010,50,18,13,55,19
I0036,2025-12-19,P0010,S002,92,98,85,105,25
I0037,2025-03-04,P0038,S004,143,55,104,94,35
I0038,2025-04-18,P0043,S009,170,38,181,27,30
I0039,2025-04-09,P0042,S001,113,20,100,33,26
I0040,2025-04-06,P0005,S001,28,32,24,36,30
I0041,2025-06-17,P0030,S007,102,57,34,125,38
I0042,2025-10-18,P0046,S007,188,40,192,36,37
I0043,2025-02-17,P0012,S001,62,32,53,41,30
I0044,2025-09-20,P0022,S003,30,17,15,32,34
I0045,2025-08-02,P0032,S005,71,92,46,117,16
I0046,2025-06-25,P0050,S001,181,46,182,45,40
I0047,2025-09-05,P0040,S006,106,0,13,93,39
I0048,2025-12-15,P0033,S004,74,18,42,50,36
I0049,2025-09-28,P0048,S009,90,67,100,57,33
I0050,2025-01-21,P0040,S010,70,55,98,27,29
I0051,2025-08-22,P0047,S010,160,37,137,60,16
I0052,2025-11-18,P0019,S006,24,52,75,1,40
I0053,2025-10-20,P0005,S008,126,59,155,30,22
I0054,2025-06-03,P0021,S010,77,57,67,67,35
I0055,2025-07-22,P0003,S004,191,74,130,135,23
I0056,2025-08-19,P0001,S009,78,5,28,55,22
I0057,2025-05-21,P0026,S001,130,6,19,117,32
I0058,2025-06-06,P0035,S007,24,64,81,7,39
I0059,2025-10-01,P0039,S001,147,74,54,167,36
I0060,2025-10-15,P0036,S005,49,30,49,30,38
I0061,2025-01-08,P0022,S003,159,83,51,191,36
I0062,2025-09-03,P0028,S002,104,82,62,124,15
I0063,2025-05-30,P0007,S003,86,21,84,23,36
I0064,2025-03-25,P0017,S007,61,54,26,89,26
I0065,2025-11-24,P0007,S005,99,69,140,28,17
I0066,2025-02-03,P0005,S003,51,0,15,36,39
I0067,2025-06-22,P0050,S005,65,14,57,22,18
I0068,2025-09-04,P0033,S009,139,65,31,173,36
I0069,2025-06-30,P0040,S005,41,45,11,75,20
