Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Unit_Price,Discount,Tax,Payment_Method,Order_Status
O00001,2025-08-06,C0048,P0031,S009,9,1248.18,1123.36,0,UPI,Completed
O00002,2025-03-03,C0059,P0018,S005,5,1251.95,312.99,0,Card,Completed
O00003,2025-09-05,C0096,P0035,S003,4,259.13,51.83,0,UPI,Completed
O00004,2025-04-10,C0098,P0034,S010,5,582.17,0.0,0,UPI,Completed
O00005,2025-05-21,C0023,P0020,S001,9,1439.39,647.73,0,Cash,Returned
O00006,2025-01-07,C0071,P0019,S003,8,273.93,0.0,0,UPI,Completed
O00007,2025-09-02,C0057,P0022,S003,1,229.27,22.93,0,Cash,Completed
O00008,2025-03-19,C0052,P0032,S002,10,2118.05,0.0,0,Card,Completed
O00009,2025-11-07,C0039,P0006,S004,2,1428.87,428.66,0,Card,Completed
O00010,2025-06-06,C0049,P0029,S008,5,773.79,580.34,0,Cash,Completed
O00011,2025-12-05,C0095,P0007,S004,4,1370.89,548.36,0,Cash,Completed
O00012,2025-07-29,C0023,P0036,S002,3,1065.1,0.0,0,Net Banking,Completed
O00013,2025-12-28,C0061,P0019,S001,4,273.93,109.57,0,UPI,Completed
O00014,2025-08-06,C0059,P0005,S004,5,1505.51,376.38,0,Cash,Completed
O00015,2025-01-31,C0083,P0010,S005,3,1826.7,0.0,0,Card,Completed
O00016,2025-03-05,C0077,P0048,S010,5,181.2,135.9,0,Net Banking,Completed
O00017,2025-08-13,C0090,P0026,S005,9,1712.19,2311.46,0,Cash,Completed
O00018,2025-01-14,C0056,P0048,S006,10,181.2,181.2,0,Cash,Completed
O00019,2025-10-23,C0087,P0037,S010,1,1625.66,162.57,0,Cash,Completed
O00020,2025-04-03,C0023,P0031,S009,8,1248.18,998.54,0,Net Banking,Completed
O00021,2025-06-20,C0063,P0006,S008,6,1428.87,1285.98,0,UPI,Completed
O00022,2025-12-06,C0021,P0022,S007,8,229.27,183.42,0,Net Banking,Completed
O00023,2025-05-10,C0071,P0003,S008,2,1858.13,371.63,0,UPI,Completed
O00024,2025-07-31,C0099,P0026,S009,1,1712.19,256.83,0,Cash,Completed
O00025,2025-04-15,C0047,P0040,S008,8,1024.91,0.0,0,UPI,Completed
O00026,2025-11-19,C0037,P0029,S008,2,773.79,0.0,0,Card,Completed
O00027,2025-02-17,C0040,P0036,S001,9,1065.1,1437.88,0,Card,Returned
O00028,2025-05-30,C0015,P0030,S002,3,267.11,120.2,0,UPI,Completed
O00029,2025-07-16,C0062,P0031,S004,8,1248.18,499.27,0,Card,Cancelled
O00030,2025-08-01,C0066,P0048,S003,2,181.2,36.24,0,UPI,Cancelled
O00031,2025-10-28,C0065,P0018,S001,5,1251.95,625.98,0,Net Banking,Completed
O00032,2025-10-10,C0058,P0035,S008,6,259.13,155.48,0,Net Banking,Completed
O00033,2025-04-30,C0042,P0013,S004,10,748.7,1123.05,0,Net Banking,Completed
O00034,2025-09-11,C0096,P0031,S007,7,1248.18,436.86,0,Cash,Completed
O00035,2025-09-27,C0076,P0022,S002,8,229.27,0.0,0,Net Banking,Completed
O00036,2025-05-16,C0019,P0027,S003,2,1703.9,511.17,0,UPI,Completed
O00037,2025-06-12,C0051,P0042,S002,6,1300.38,1170.34,0,Net Banking,Completed
O00038,2025-04-27,C0005,P0040,S002,4,1024.91,409.96,0,Cash,Completed
O00039,2025-12-22,C0013,P0049,S002,8,969.43,387.77,0,UPI,Cancelled
O00040,2025-07-11,C0006,P0021,S001,5,1301.36,650.68,0,Net Banking,Completed
O00041,2025-03-31,C0068,P0027,S010,3,1703.9,255.59,0,Cash,Completed
O00042,2025-04-29,C0049,P0040,S004,8,1024.91,409.96,0,Net Banking,Completed
O00043,2025-12-13,C0059,P0017,S001,8,2005.24,1604.19,0,Card,Completed
O00044,2025-08-22,C0045,P0038,S005,7,1329.92,930.94,0,UPI,Completed
O00045,2025-10-20,C0050,P0031,S002,4,1248.18,748.91,0,UPI,Completed
O00046,2025-01-05,C0090,P0019,S001,7,273.93,191.75,0,Cash,Cancelled
O00047,2025-04-23,C0096,P0032,S005,4,2118.05,847.22,0,Card,Completed
O00048,2025-06-08,C0087,P0049,S003,2,969.43,0.0,0,Net Banking,Completed
O00049,2025-06-17,C0047,P0047,S003,2,1161.35,232.27,0,Net Banking,Completed
O00050,2025-03-26,C0017,P0035,S006,9,259.13,233.22,0,UPI,Cancelled
O00051,2025-02-08,C0062,P0019,S006,2,273.93,82.18,0,Card,Completed
O00052,2025-02-16,C0029,P0044,S007,9,2159.63,1943.67,0,Net Banking,Completed
O00053,2025-10-27,C0069,P0008,S008,6,1176.73,706.04,0,Net Banking,Completed
O00054,2025-11-14,C0048,P0007,S004,8,1370.89,0.0,0,UPI,Cancelled
O00055,2025-11-29,C0029,P0042,S002,8,1300.38,1040.3,0,Net Banking,Completed
O00056,2025-02-19,C0006,P0003,S005,8,1858.13,0.0,0,Card,Completed
O00057,2025-10-28,C0018,P0025,S008,6,221.76,199.58,0,Card,Completed
O00058,2025-05-24,C0084,P0007,S008,10,1370.89,2056.34,0,Cash,Completed
